date,home_fm,away_fm,xg_home,xg_away,score,team_home,team_away,match_id
2025-11-13,Ireland,Portugal,2.02,1.6,2 - 0,Republic of Ireland,Portugal,4689360
2025-11-13,Norway,Estonia,2.03,0.7,4 - 1,Norway,Estonia,4689491
2025-11-13,England,Serbia,1.2,0.39,2 - 0,England,Serbia,4689416
2025-11-14,Poland,Netherlands,1.57,0.82,1 - 1,Poland,Netherlands,4689278
2025-11-14,Luxembourg,Germany,0.79,1.65,0 - 2,Luxembourg,Germany,4689257
2025-11-14,Croatia,Faroe Islands,2.68,0.45,3 - 1,Croatia,Faroe Islands,4689380
2025-11-14,Bermuda,Curacao,0.14,3.68,0 - 7,Bermuda,Curaçao,4822543
2025-11-14,Guatemala,Panama,2.87,0.4,2 - 3,Guatemala,Panama,4822530
2025-11-14,Haiti,Costa Rica,1.33,1.21,1 - 0,Haiti,Costa Rica,4822555
2025-11-15,Kazakhstan,Belgium,0.34,2.87,1 - 1,Kazakhstan,Belgium,4689450
2025-11-15,Liechtenstein,Wales,0.28,2.85,0 - 1,Liechtenstein,Wales,4689451
2025-11-15,Georgia,Spain,0.28,3.52,0 - 4,Georgia,Spain,4689347
2025-11-15,Turkiye,Bulgaria,2.56,0.39,2 - 0,Turkey,Bulgaria,4689348
2025-11-15,Cyprus,Austria,0.37,2.51,0 - 2,Cyprus,Austria,4689313
2025-11-15,Bosnia and Herzegovina,Romania,1.79,1.5,3 - 1,Bosnia and Herzegovina,Romania,4689314
2025-11-15,Switzerland,Sweden,1.7,0.65,4 - 1,Switzerland,Sweden,4689290
2025-11-15,Denmark,Belarus,2.88,0.84,2 - 2,Denmark,Belarus,4689322
2025-11-15,Greece,Scotland,1.93,2.36,3 - 2,Greece,Scotland,4689321
2025-11-16,Portugal,Armenia,5.69,0.75,9 - 1,Portugal,Armenia,4689362
2025-11-16,Azerbaijan,France,0.15,2.7,1 - 3,Azerbaijan,France,4689337
2025-11-16,Albania,England,0.49,1.86,0 - 2,Albania,England,4689417
2025-11-16,Serbia,Latvia,1.96,1.27,2 - 1,Serbia,Latvia,4689418
2025-11-16,Italy,Norway,1.31,1.59,1 - 4,Italy,Norway,4689494
2025-11-17,Germany,Slovakia,4.02,0.38,6 - 0,Germany,Slovakia,4689260
2025-11-17,Malta,Poland,2.37,1.79,2 - 3,Malta,Poland,4689279
2025-11-17,Netherlands,Lithuania,3.16,0.67,4 - 0,Netherlands,Lithuania,4689280
2025-11-17,Czechia,Gibraltar,4.29,0.0,6 - 0,Czech Republic,Gibraltar,4689381
2025-11-17,Montenegro,Croatia,0.98,2.7,2 - 3,Montenegro,Croatia,4689382
2025-11-18,Kosovo,Switzerland,0.61,0.91,1 - 1,Kosovo,Switzerland,4689291
2025-11-18,Sweden,Slovenia,0.64,2.14,1 - 1,Sweden,Slovenia,4689292
2025-11-18,Scotland,Denmark,1.76,2.2,4 - 2,Scotland,Denmark,4689324
2025-11-18,Spain,Turkiye,2.58,1.13,2 - 2,Spain,Turkey,4689350
2025-11-18,Austria,Bosnia and Herzegovina,1.19,0.8,1 - 1,Austria,Bosnia and Herzegovina,4689315
2025-11-18,Belgium,Liechtenstein,3.08,0.04,7 - 0,Belgium,Liechtenstein,4689452
2025-11-18,Wales,North Macedonia,3.61,0.63,7 - 1,Wales,North Macedonia,4689453
2025-12-21,Morocco,Comoros,1.94,0.3,2 - 0,Morocco,Comoros,4721983
2025-12-22,South Africa,Angola,0.44,0.89,2 - 1,South Africa,Angola,4721990
2025-12-22,Egypt,Zimbabwe,2.93,0.35,2 - 1,Egypt,Zimbabwe,4721989
2025-12-23,DR Congo,Benin,1.49,0.49,1 - 0,DR Congo,Benin,4722002
2025-12-23,Senegal,Botswana,3.66,0.17,3 - 0,Senegal,Botswana,4722001
2025-12-23,Tunisia,Uganda,1.43,0.55,3 - 1,Tunisia,Uganda,4721996
2025-12-24,Algeria,Sudan,2.2,0.31,3 - 0,Algeria,Sudan,4722007
2025-12-24,Ivory Coast,Mozambique,1.3,0.24,1 - 0,Ivory Coast,Mozambique,4722013
2025-12-24,Cameroon,Gabon,0.97,0.69,1 - 0,Cameroon,Gabon,4722014
2025-12-26,Egypt,South Africa,1.02,0.75,1 - 0,Egypt,South Africa,4721991
2025-12-26,Morocco,Mali,2.81,0.91,1 - 1,Morocco,Mali,4721985
2025-12-27,Senegal,DR Congo,2.01,0.95,1 - 1,Senegal,DR Congo,4722003
2025-12-27,Nigeria,Tunisia,2.12,1.07,3 - 2,Nigeria,Tunisia,4721997
2025-12-28,Ivory Coast,Cameroon,0.98,0.62,1 - 1,Ivory Coast,Cameroon,4722015
2025-12-28,Algeria,Burkina Faso,2.01,1.02,1 - 0,Algeria,Burkina Faso,4722009
2025-12-29,Angola,Egypt,0.76,0.62,0 - 0,Angola,Egypt,4721993
2025-12-29,Zimbabwe,South Africa,1.3,1.52,2 - 3,Zimbabwe,South Africa,4721994
2025-12-29,Zambia,Morocco,0.23,1.96,0 - 3,Zambia,Morocco,4721987
2025-12-30,Tanzania,Tunisia,0.18,1.0,1 - 1,Tanzania,Tunisia,4722000
2025-12-30,Benin,Senegal,0.76,1.94,0 - 3,Benin,Senegal,4722005
2025-12-30,Botswana,DR Congo,0.27,4.02,0 - 3,Botswana,DR Congo,4722006
2025-12-31,Equatorial Guinea,Algeria,0.49,1.9,1 - 3,Equatorial Guinea,Algeria,4722011
2025-12-31,Gabon,Ivory Coast,0.87,1.84,2 - 3,Gabon,Ivory Coast,4722017
2025-12-31,Mozambique,Cameroon,1.07,2.35,1 - 2,Mozambique,Cameroon,4722018
2026-01-03,Senegal,Sudan,1.49,0.49,3 - 1,Senegal,Sudan,5073456
2026-01-03,Mali,Tunisia,1.15,1.11,1 - 1,Mali,Tunisia,5073457
2026-01-04,Morocco,Tanzania,1.01,0.73,1 - 0,Morocco,Tanzania,5073458
2026-01-04,South Africa,Cameroon,2.08,1.36,1 - 2,South Africa,Cameroon,5073459
2026-01-05,Egypt,Benin,1.19,1.22,3 - 1,Egypt,Benin,5073460
2026-01-06,Algeria,DR Congo,0.7,0.16,1 - 0,Algeria,DR Congo,5073462
2026-01-06,Ivory Coast,Burkina Faso,2.02,0.41,3 - 0,Ivory Coast,Burkina Faso,5073463
2026-01-09,Mali,Senegal,1.12,1.88,0 - 1,Mali,Senegal,5073471
2026-01-09,Cameroon,Morocco,0.46,1.43,0 - 2,Cameroon,Morocco,5073472
2026-01-10,Algeria,Nigeria,0.13,3.36,0 - 2,Algeria,Nigeria,5073473
2026-01-10,Egypt,Ivory Coast,0.78,1.17,3 - 2,Egypt,Ivory Coast,5073474
2026-01-14,Senegal,Egypt,0.33,0.12,1 - 0,Senegal,Egypt,5073475
2026-01-14,Nigeria,Morocco,0.08,0.86,0 - 0,Nigeria,Morocco,5073476
2026-01-17,Egypt,Nigeria,0.29,0.2,0 - 0,Egypt,Nigeria,5073477
2026-01-18,Senegal,Morocco,1.71,2.18,0 - 3,Senegal,Morocco,5073478
2026-03-26,Turkiye,Romania,1.4,0.48,1 - 0,Turkey,Romania,5067289
2026-03-26,Czechia,Ireland,1.45,1.28,2 - 2,Czech Republic,Republic of Ireland,5067294
2026-03-26,Denmark,North Macedonia,2.85,0.15,4 - 0,Denmark,North Macedonia,5067290
2026-03-26,Poland,Albania,0.89,1.11,2 - 1,Poland,Albania,5067292
2026-03-26,Ukraine,Sweden,0.76,2.39,1 - 3,Ukraine,Sweden,5067288
2026-03-26,Wales,Bosnia and Herzegovina,1.34,1.1,1 - 1,Wales,Bosnia and Herzegovina,5067291
2026-03-31,Bosnia and Herzegovina,Italy,1.9,0.86,1 - 1,Bosnia and Herzegovina,Italy,5067299
2026-03-31,Czechia,Denmark,1.22,1.35,2 - 2,Czech Republic,Denmark,5067302
2026-03-31,Kosovo,Turkiye,0.88,1.76,0 - 1,Kosovo,Turkey,5067301
2026-03-31,Sweden,Poland,1.65,1.53,3 - 2,Sweden,Poland,5067300
